pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_location_id
2019-01-03 00:00:08.000000 UTC,2019-01-03 00:07:29.000000 UTC,1,1.68,130
2019-01-03 00:00:26.000000 UTC,2019-01-03 00:31:41.000000 UTC,1,4.83,61
2019-01-03 00:00:28.000000 UTC,2019-01-03 23:15:54.000000 UTC,1,2.58,7
2019-01-03 00:00:34.000000 UTC,2019-01-03 00:14:27.000000 UTC,1,4.53,7
2019-01-03 00:00:34.000000 UTC,2019-01-03 00:05:48.000000 UTC,1,1.19,95
2019-01-03 00:00:43.000000 UTC,2019-01-03 00:03:44.000000 UTC,1,0.77,17
2019-01-03 00:00:55.000000 UTC,2019-01-03 00:24:51.000000 UTC,1,7.44,136
2019-01-03 00:00:57.000000 UTC,2019-01-03 22:52:48.000000 UTC,1,0,146
2019-01-03 00:01:29.000000 UTC,2019-01-03 00:07:04.000000 UTC,1,1.43,75
2019-01-03 00:01:39.000000 UTC,2019-01-03 00:07:57.000000 UTC,1,1.61,33
2019-01-03 00:01:48.000000 UTC,2019-01-03 00:20:09.000000 UTC,1,3.18,205
2019-01-03 00:01:49.000000 UTC,2019-01-03 00:14:45.000000 UTC,1,3.23,130
2019-01-03 00:01:54.000000 UTC,2019-01-03 00:09:51.000000 UTC,1,1.09,65
2019-01-03 00:01:58.000000 UTC,2019-01-03 00:36:16.000000 UTC,1,8.43,29
2019-01-03 00:02:04.000000 UTC,2019-01-03 00:05:34.000000 UTC,1,0.75,7
2019-01-03 00:02:11.000000 UTC,2019-01-03 00:17:23.000000 UTC,1,4.46,66
2019-01-03 00:02:17.000000 UTC,2019-01-03 00:14:39.000000 UTC,1,2.54,33
2019-01-03 00:02:17.000000 UTC,2019-01-03 00:08:54.000000 UTC,1,1.64,41
2019-01-03 00:02:38.000000 UTC,2019-01-03 00:06:50.000000 UTC,1,1.3,210
2019-01-03 00:02:45.000000 UTC,2019-01-03 00:09:01.000000 UTC,1,1.29,42
2019-01-03 00:03:03.000000 UTC,2019-01-03 00:09:49.000000 UTC,1,1.41,129
2019-01-03 00:03:08.000000 UTC,2019-01-03 01:37:14.000000 UTC,5,25.4,228
2019-01-03 00:03:37.000000 UTC,2019-01-03 00:10:11.000000 UTC,2,1.29,7
2019-01-03 00:03:45.000000 UTC,2019-01-03 00:13:46.000000 UTC,5,1.5,74
2019-01-03 00:03:47.000000 UTC,2019-01-03 00:07:39.000000 UTC,1,0.58,41
2019-01-03 00:04:31.000000 UTC,2019-01-03 00:07:52.000000 UTC,1,0.7,25
